"90","RELIEVE C.A.","1","FLA-1813-A","FLA-SPRAY METALIC GOLD","514","SPRAY","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F490-1","ARMONIA EXTERIOR AZUL FANTASIA","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F491-1","ARMONIA EXTERIOR AZUL CROMO","505","PINTURAS CAUCHOS","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-65-12-E-1","PASTA ARMONIA","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-65-12-E-4","ARMONIA PASTA PROF.ESPECIAL","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-65-12-E-5","PASTA PROFESIONAL ARMONIA","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","CCA-1921-D-4","COLORANTE THALO GREEN","517","TINTAS","5.261" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","CCA-1988-L-4","COLORANTE RAW UMBER","517","TINTAS","4.605" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","CCA-1997-I-4","COLORANTE BROWN OXIDE","517","TINTAS","3.601" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-026-617-1","SUPER ESMALTE GRIS CENIZA","507","PINTURAS ESMALTES","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-10-82-1","FONDO P/HERRERIA ROJO","501","FONDOS","6" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-10-82-4","FONDO P/HERRERIA ROJO","501","FONDOS","27" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-10-84-1","FONDO P/HERRERIA GRIS","501","FONDOS","18" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-10-84-4","FONDO P/HERRERIA GRIS","501","FONDOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-10-91-4","FONDO NEGRO","501","FONDOS","5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-11-11-1","FONDO PROTECTOR BLANCO","501","FONDOS","10" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-11-11-4","FONDO PROTECTOR BLANCO","501","FONDOS","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-169-100-1","SELLADOR NITRO LISTO PARA USAR","802","SELLADORES PARA MADERA","10" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-169-100-4","SELLADOR LISTO PARA USAR","802","SELLADORES PARA MADERA","6" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-17-00-1","FONDO ECOLOG/ANTIALCALINO","501","FONDOS","9" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-17-00-5","FONDO ECOLOGICO ANTIALCALINO","501","FONDOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-01-1","FLA-GLOSS TRANSPARENTE","507","PINTURAS ESMALTES","2.25" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-081-1","FLA-GLOSS GRIS CLARO 1/1","507","PINTURAS ESMALTES","29.25" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-11-1","FLA-GLOSS BLANCO","507","PINTURAS ESMALTES","16" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-11-4","FLA-GLOSS BLANCO","507","PINTURAS ESMALTES","8" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-12-1","FLA-GLOSS BLANCO OSTRA","507","PINTURAS ESMALTES","5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-12-4","FLA-GLOSS BLANCO OSTRA","507","PINTURAS ESMALTES","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-23-1","FLA-GLOSS AMARILLO CATERPILLA","507","PINTURAS ESMALTES","5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-23-4","FLA-GLOSS AMARILLO CATERPILLA","507","PINTURAS ESMALTES","13" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-24-1","FLA-GLOSS AMARILLO","507","PINTURAS ESMALTES","15.75" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-31-1","FLA-GLOSS NARANJA","507","PINTURAS ESMALTES",".5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-31-4","FLA-GLOSS NARANJA","507","PINTURAS ESMALTES","20" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-42-1","FLA-GLOSS ROJO CEREZA","507","PINTURAS ESMALTES","6" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-51-1","FLA-GLOSS AZUL BAHIA","507","PINTURAS ESMALTES","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-54-1","FLA-GLOSS AZUL MEDIO","507","PINTURAS ESMALTES","5.5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-54-4","FLA-GLOSS AZUL MEDIO","507","PINTURAS ESMALTES","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-61-1","FLA-GLOSS VERDE SELVA","507","PINTURAS ESMALTES","27.75" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-61-4","FLA-GLOSS VERDE SELVA","507","PINTURAS ESMALTES","3" 
